Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Beagle---0.9.47-8.0.0,8.0.0,1.15722,0,250,0,0
Beagle---0.9.47-8.1.0,8.1.0,1.15722,0,250,0,0
Beagle---0.9.47-8.2.0,8.2.0,1.15722,0,250,0,0
Princess---170717-7.1.0,7.1.0,1.06634,0,233,0,0
Princess---170717-7.2.0,7.2.0,1.06634,0,233,0,0
Princess---170717-7.3.0,7.3.0,1.06634,0,233,0,0
Princess---170717-7.4.0,7.4.0,1.06634,0,233,0,0
Princess---170717-7.5.0,7.5.0,1.06634,0,233,0,0
Princess---170717-8.0.0,8.0.0,1.06634,0,233,0,0
Princess---170717-8.1.0,8.1.0,1.06634,0,233,0,0
Beagle---0.9.32-6.3.0,6.3.0,1.0618,12.79878,241,0,0
Beagle---0.9.32-6.4.0,6.4.0,1.0618,0,241,0,0
Refute---2015-6.4.0,6.4.0,1.05779,0,169,0,0
Refute---2015-7.0.0,7.0.0,1.05779,0,169,0,0
Refute---2015-7.1.0,7.1.0,1.05779,0,169,0,0
Refute---2015-7.2.0,7.2.0,1.05779,0,169,0,0
Refute---2015-7.3.0,7.3.0,1.05779,0,169,0,0
Refute---2015-7.4.0,7.4.0,1.05779,0,169,0,0
Refute---2015-7.5.0,7.5.0,1.05779,0,169,0,0
Refute---2015-8.0.0,8.0.0,1.05779,0,169,0,0
Refute---2015-8.1.0,8.1.0,1.05779,0,169,0,0
Refute---2015-8.2.0,8.2.0,1.05779,0,169,0,0
Refute---2015-6.3.0,6.3.0,1.04737,12.19742,168,0,0
Princess---230526-8.2.0,8.2.0,1.03625,0,228,0,0
Darwin---1.4.5-6.3.0,6.3.0,0.99432,11.76891,221,0,0
Darwin---1.4.5-6.4.0,6.4.0,0.99432,0,221,0,0
Darwin---1.4.5-7.0.0,7.0.0,0.99432,0,221,0,0
Darwin---1.4.5-7.1.0,7.1.0,0.99432,0,221,0,0
Darwin---1.4.5-7.2.0,7.2.0,0.99432,0,221,0,0
