Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
SPASS---3.9-7.4.0,7.4.0,9.75662,0,2953,0,0
SPASS---3.9-7.5.0,7.5.0,9.75662,0,2953,0,0
SPASS---3.9-8.0.0,8.0.0,9.75662,0,2953,0,0
Princess---230526-8.2.0,8.2.0,9.73882,0,2793,0,0
CVC4-SAT---1.7-7.3.0,7.3.0,9.41784,2.03846,2572,0,2
Drodi---3.1.5-8.0.0,8.0.0,9.2329,0,2867,0,0
SNARK---20120808r022-8.1.0,8.1.0,8.9475,0,2761,0,0
SNARK---20120808r022-8.2.0,8.2.0,8.9475,0,2761,0,0
SNARK---20120808r022-6.3.0,6.3.0,8.84866,121.3903,2746,0,0
SNARK---20120808r022-7.3.0,7.3.0,8.83877,0.07294,2745,0,0
SNARK---20120808r022-7.4.0,7.4.0,8.83877,0,2745,0,0
SNARK---20120808r022-7.5.0,7.5.0,8.83877,0,2745,0,0
SNARK---20120808r022-8.0.0,8.0.0,8.83877,0,2745,0,0
SNARK---20120808r022-7.1.0,7.1.0,8.82824,0,2743,0,0
SNARK---20120808r022-7.2.0,7.2.0,8.82824,0,2743,0,0
SNARK---20120808r022-6.4.0,6.4.0,8.82442,0,2742,0,0
SNARK---20120808r022-7.0.0,7.0.0,8.82442,0,2742,0,0
Drodi---3.1-7.5.0,7.5.0,8.77681,0,2801,0,0
CVC4-SAT---1.5.2-7.1.0,7.1.0,8.65461,0,2567,0,0
CVC4-SAT---1.5.2-7.2.0,7.2.0,8.65461,0,2567,0,0
Prover9---1109a-7.3.0,7.3.0,8.48623,0.07294,2426,0,0
Prover9---1109a-7.4.0,7.4.0,8.48623,0,2426,0,0
Prover9---1109a-7.5.0,7.5.0,8.48623,0,2426,0,0
Prover9---1109a-7.1.0,7.1.0,8.47569,0,2424,0,0
Prover9---1109a-7.2.0,7.2.0,8.47569,0,2424,0,0
Prover9---1109a-8.0.0,8.0.0,8.4634,0,2418,0,0
Prover9---1109a-6.3.0,6.3.0,8.46143,118.40845,2418,0,6
Prover9---1109a-6.4.0,6.4.0,8.46143,0,2418,0,0
Prover9---1109a-7.0.0,7.0.0,8.46143,0,2418,0,0
Zipperpin---1.5-7.4.0,7.4.0,8.45781,0,2729,0,0
leanCoP---2.2-8.1.0,8.1.0,8.1926,0,2500,0,0
leanCoP---2.2-8.2.0,8.2.0,8.1926,0,2500,0,0
leanCoP---2.2-6.3.0,6.3.0,7.98165,109.99966,2458,0,0
leanCoP---2.2-8.0.0,8.0.0,7.97979,0,2457,0,0
leanCoP---2.2-6.4.0,6.4.0,7.9757,0,2456,0,0
leanCoP---2.2-7.0.0,7.0.0,7.9757,0,2456,0,0
leanCoP---2.2-7.1.0,7.1.0,7.9757,0,2456,0,0
leanCoP---2.2-7.2.0,7.2.0,7.9757,0,2456,0,0
leanCoP---2.2-7.3.0,7.3.0,7.9757,0,2456,0,0
leanCoP---2.2-7.4.0,7.4.0,7.9757,0,2456,0,0
leanCoP---2.2-7.5.0,7.5.0,7.9757,0,2456,0,0
Equinox---6.0.1a-8.1.0,8.1.0,7.97025,0,2494,0,0
Equinox---6.0.1a-8.2.0,8.2.0,7.97025,0,2494,0,0
nanoCoP---2.0-8.2.0,8.2.0,7.9036,0,2432,0,0
lean-nanoCoP---1.0-7.1.0,7.1.0,7.88325,0,2455,0,0
lean-nanoCoP---1.0-7.2.0,7.2.0,7.88325,0,2455,0,0
CVC4-SAT---1.5pre-6.3.0,6.3.0,7.86014,104.41951,2486,0,0
Zipperpin---1.4-7.3.0,7.3.0,7.84706,0.07294,2578,0,0
ZenonModulo---0.4.2-8.1.0,8.1.0,7.82935,0,1587,0,0
ZenonModulo---0.4.2-8.2.0,8.2.0,7.82935,0,1587,0,0
CSE---1.2-7.4.0,7.4.0,7.76907,0,2254,0,0
ZenonModulo---0.4.2-8.0.0,8.0.0,7.766,0,1571,0,0
ZenonModulo---0.4.2-7.3.0,7.3.0,7.76263,0,1570,0,0
ZenonModulo---0.4.2-7.4.0,7.4.0,7.76263,0,1570,0,0
ZenonModulo---0.4.2-7.5.0,7.5.0,7.76263,0,1570,0,0
