Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
FDP---0.9.16-8.0.0,8.0.0,1.73243,0,557,0,0
Zipperpin---1.4-7.1.0,7.1.0,1.72947,0,669,0,0
Zipperpin---1.4-7.2.0,7.2.0,1.72947,0,669,0,0
Zipperpin---1.4-7.3.0,7.3.0,1.72947,0,669,0,0
FDP---0.9.16-8.1.0,8.1.0,1.72937,0,556,0,0
FDP---0.9.16-8.2.0,8.2.0,1.72937,0,556,0,0
iProverMo---2.5-0.1-8.2.0,8.2.0,1.71417,0,635,0,0
iProverMo---2.5-0.1-8.1.0,8.1.0,1.71112,0,634,0,0
iProverMo---2.5-0.1-7.1.0,7.1.0,1.7092,0,634,0,0
iProverMo---2.5-0.1-7.2.0,7.2.0,1.7092,0,634,0,0
iProverMo---2.5-0.1-7.3.0,7.3.0,1.7092,0,634,0,0
iProverMo---2.5-0.1-7.4.0,7.4.0,1.7092,0,634,0,0
iProverMo---2.5-0.1-7.5.0,7.5.0,1.7092,0,634,0,0
iProverMo---2.5-0.1-8.0.0,8.0.0,1.7092,0,634,0,0
PyRes---1.3-8.0.0,8.0.0,1.70297,0,677,0,0
Drodi---3.1-7.5.0,7.5.0,1.70162,0,660,0,0
PyRes---1.3-7.5.0,7.5.0,1.69984,0,676,0,0
PyRes---1.2-7.4.0,7.4.0,1.69811,0,676,0,0
PyRes---1.3-8.1.0,8.1.0,1.69328,0,674,0,0
PyRes---1.3-8.2.0,8.2.0,1.69328,0,674,0,0
Prover9---1109a-8.2.0,8.2.0,1.67161,0,650,0,0
Prover9---1109a-8.1.0,8.1.0,1.66855,0,649,0,0
Paradox---4.0-6.3.0,6.3.0,1.65678,19.04172,346,0,0
SNARK---20120808r022-8.1.0,8.1.0,1.64537,0,638,0,0
SNARK---20120808r022-8.2.0,8.2.0,1.64537,0,638,0,0
Z3---4.4-TPTP-6.3.0,6.3.0,1.62679,20.03428,474,0,0
SNARK---20120808r022-6.3.0,6.3.0,1.62617,21.40292,635,0,0
SNARK---20120808r022-6.4.0,6.4.0,1.62617,0,635,0,0
SNARK---20120808r022-7.0.0,7.0.0,1.62617,0,635,0,0
SNARK---20120808r022-7.1.0,7.1.0,1.62617,0,635,0,0
SNARK---20120808r022-7.2.0,7.2.0,1.62617,0,635,0,0
SNARK---20120808r022-7.3.0,7.3.0,1.62617,0,635,0,0
SNARK---20120808r022-7.4.0,7.4.0,1.62617,0,635,0,0
SNARK---20120808r022-7.5.0,7.5.0,1.62617,0,635,0,0
SNARK---20120808r022-8.0.0,8.0.0,1.62617,0,635,0,0
Nitpick---2016-7.3.0,7.3.0,1.61067,0,326,0,0
Nitpick---2016-7.4.0,7.4.0,1.61067,0,326,0,0
Nitpick---2016-7.5.0,7.5.0,1.61067,0,326,0,0
Nitpick---2016-8.0.0,8.0.0,1.61067,0,326,0,0
Nitpick---2016-8.1.0,8.1.0,1.61067,0,326,0,0
Nitpick---2016-8.2.0,8.2.0,1.61067,0,326,0,0
Nitpick---2015-6.3.0,6.3.0,1.5919,18.55189,325,0,0
Nitpick---2016-7.0.0,7.0.0,1.54998,0,324,0,0
Nitpick---2016-7.1.0,7.1.0,1.54998,0,324,0,0
Nitpick---2016-7.2.0,7.2.0,1.54998,0,324,0,0
Prover9---1109a-8.0.0,8.0.0,1.54228,0,621,0,0
Prover9---1109a-6.3.0,6.3.0,1.53625,19.94862,622,0,0
Prover9---1109a-6.4.0,6.4.0,1.53625,0,622,0,0
Prover9---1109a-7.0.0,7.0.0,1.53625,0,622,0,0
Prover9---1109a-7.1.0,7.1.0,1.53625,0,622,0,0
Prover9---1109a-7.2.0,7.2.0,1.53625,0,622,0,0
Prover9---1109a-7.3.0,7.3.0,1.53625,0,622,0,0
Prover9---1109a-7.4.0,7.4.0,1.53625,0,622,0,0
Prover9---1109a-7.5.0,7.5.0,1.53625,0,622,0,0
DarwinFM---1.4.5-6.3.0,6.3.0,1.50091,17.03779,337,0,0
DarwinFM---1.4.5-6.4.0,6.4.0,1.50091,0,337,0,0
DarwinFM---1.4.5-7.0.0,7.0.0,1.50091,0,337,0,0
DarwinFM---1.4.5-7.1.0,7.1.0,1.50091,0,337,0,0
DarwinFM---1.4.5-7.2.0,7.2.0,1.50091,0,337,0,0
DarwinFM---1.4.5-7.3.0,7.3.0,1.50091,0,337,0,0
DarwinFM---1.4.5-7.4.0,7.4.0,1.50091,0,337,0,0
DarwinFM---1.4.5-7.5.0,7.5.0,1.50091,0,337,0,0
DarwinFM---1.4.5-8.0.0,8.0.0,1.50091,0,337,0,0
Zipperpin---0.4-6.4.0,6.4.0,1.48495,0,615,0,0
Zipperpin---0.4-7.0.0,7.0.0,1.48495,0,615,0,0
CVC4-SAT---1.5j8-6.4.0,6.4.0,1.48346,0,335,0,0
CVC4-SAT---1.5.2-7.0.0,7.0.0,1.43861,0,327,0,0
ZenonModulo---0.4.1-6.4.0,6.4.0,1.41578,0,587,0,0
ZenonModulo---0.4.1-7.0.0,7.0.0,1.41578,0,587,0,0
ZenonModulo---0.4.1-7.1.0,7.1.0,1.41578,0,587,0,0
ZenonModulo---0.4.1-7.2.0,7.2.0,1.41578,0,587,0,0
ZenonModulo---0.4.1-6.3.0,6.3.0,1.40395,18.25599,582,0,0
Enigma---0.5.1-7.5.0,7.5.0,1.38294,0,432,0,0
Enigma---0.5.1-8.0.0,8.0.0,1.38294,0,432,0,0
Enigma---0.5.1-8.1.0,8.1.0,1.38294,0,432,0,0
Enigma---0.5.1-8.2.0,8.2.0,1.38294,0,432,0,0
