Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
E-Darwin---1.5-6.4.0,6.4.0,6.80533,0,1979,0,0
E-Darwin---1.5-7.0.0,7.0.0,6.80533,0,1979,0,0
E-Darwin---1.5-7.1.0,7.1.0,6.80533,0,1979,0,0
E-Darwin---1.5-7.2.0,7.2.0,6.80533,0,1979,0,0
CSE---1.5-8.2.0,8.2.0,6.78452,0,1884,0,0
Bliksem---1.12-8.1.0,8.1.0,6.57056,0,1873,0,0
Bliksem---1.12-8.2.0,8.2.0,6.57056,0,1873,0,0
Bliksem---1.12-7.3.0,7.3.0,6.48366,0.07407,1852,0,0
Bliksem---1.12-7.4.0,7.4.0,6.48366,0,1852,0,0
Bliksem---1.12-7.5.0,7.5.0,6.48366,0,1852,0,0
Bliksem---1.12-8.0.0,8.0.0,6.48366,0,1852,0,0
Bliksem---1.12-6.3.0,6.3.0,6.45388,86.05942,1846,0,2
Bliksem---1.12-6.4.0,6.4.0,6.45388,0,1846,0,0
Bliksem---1.12-7.0.0,7.0.0,6.45388,0,1846,0,0
Bliksem---1.12-7.1.0,7.1.0,6.45388,0,1846,0,0
Bliksem---1.12-7.2.0,7.2.0,6.45388,0,1846,0,0
CSE---1.3-7.5.0,7.5.0,6.3867,0,1856,0,0
CSE---1.2-7.4.0,7.4.0,6.31867,0,1843,0,0
CSE---1.4-8.0.0,8.0.0,6.23982,1,1750,0,1
Darwin---1.4.5-8.1.0,8.1.0,6.19362,0,1768,0,0
Darwin---1.4.5-8.2.0,8.2.0,6.19362,0,1768,0,0
CSE---1.1-7.3.0,7.3.0,6.1329,0.15254,1816,0,0
Equinox---6.0.1a-8.1.0,8.1.0,6.12897,0,1758,0,0
Equinox---6.0.1a-8.2.0,8.2.0,6.12897,0,1758,0,0
Darwin---1.4.5-7.3.0,7.3.0,6.10083,0.15254,1752,0,0
Darwin---1.4.5-7.4.0,7.4.0,6.10083,0,1752,0,0
Darwin---1.4.5-7.5.0,7.5.0,6.10083,0,1752,0,0
Darwin---1.4.5-8.0.0,8.0.0,6.10083,0,1752,0,0
Zipperpin---0.4-6.4.0,6.4.0,6.09152,0,1815,0,0
Zipperpin---0.4-7.0.0,7.0.0,6.09152,0,1815,0,0
Darwin---1.4.5-6.3.0,6.3.0,6.07901,79.65414,1748,0,2
Darwin---1.4.5-6.4.0,6.4.0,6.07901,0,1748,0,0
Darwin---1.4.5-7.0.0,7.0.0,6.07901,0,1748,0,0
Darwin---1.4.5-7.1.0,7.1.0,6.07901,0,1748,0,0
Darwin---1.4.5-7.2.0,7.2.0,6.07901,0,1748,0,0
CVC4-SAT---1.7-7.3.0,7.3.0,6.07834,0.15254,1711,0,0
CVC4-SAT---1.5pre-6.3.0,6.3.0,6.04505,79.8073,1708,0,0
CVC4-SAT---1.5.2-7.1.0,7.1.0,5.9033,0,1692,0,0
CVC4-SAT---1.5.2-7.2.0,7.2.0,5.9033,0,1692,0,0
CSE---1.4-8.1.0,8.1.0,5.89903,0,1750,0,0
