AAANNN.p,SZS,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0
ALG160+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG161+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG162+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG163+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG164+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG165+1,THM,0.55,0.46,0.52,0.52,0.48,0.47,0.62,0.58,0.64,0.53,0.57
ALG166+1,THM,0.20,0.17,0.17,0.17,0.19,0.24,0.31,0.25,0.27,0.20,0.21
ALG167+1,THM,0.20,0.17,0.17,0.17,0.19,0.24,0.31,0.25,0.27,0.20,0.21
ALG168+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG169+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG170+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG171+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG172+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG173+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG174+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG175+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG176+1,THM,0.19,0.22,0.25,0.25,0.28,0.13,0.21,0.21,0.17,0.13,0.27
ALG177+1,THM,0.22,0.22,0.25,0.25,0.28,0.13,0.21,0.21,0.17,0.13,0.19
ALG178+1,THM,0.17,0.14,0.17,0.17,0.19,0.07,0.10,0.10,0.09,0.07,0.19
ALG179+1,THM,0.17,0.14,0.17,0.17,0.22,0.10,0.10,0.10,0.09,0.13,0.19
ALG180+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG181+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG182+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG183+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG184+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG185+1,THM,0.15,0.12,0.13,0.13,0.10,0.12,0.15,0.08,0.09,0.13,0.14
ALG186+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG187+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG188+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.17,0.09,0.07,0.07
ALG189+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.17,0.09,0.07,0.07
ALG190+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG191+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG192+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG193+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG194+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG195+1,THM,0.40,0.33,0.35,0.35,0.29,0.35,0.38,0.33,0.36,0.33,0.36
ALG196+1,THM,0.40,0.42,0.35,0.35,0.33,0.35,0.38,0.33,0.45,0.53,0.57
ALG197+1,THM,0.40,0.38,0.35,0.35,0.29,0.35,0.38,0.33,0.36,0.33,0.36
ALG198+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG199+1,THM,0.15,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG200+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG201+1,THM,0.08,0.08,0.11,0.11,0.12,0.03,0.03,0.03,0.00,0.00,0.04
ALG202+1,THM,0.08,0.08,0.11,0.11,0.12,0.03,0.03,0.03,0.04,0.07,0.12
ALG203+1,THM,0.25,0.25,0.25,0.25,0.28,0.20,0.17,0.17,0.22,0.17,0.19
ALG204+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG205+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG206+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG207+1,THM,0.15,0.12,0.13,0.13,0.19,0.18,0.23,0.17,0.09,0.07,0.07
ALG208+1,THM,0.10,0.08,0.09,0.09,0.14,0.12,0.15,0.17,0.09,0.07,0.07
ALG209+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG210+1,THM,0.28,0.25,0.25,0.25,0.28,0.13,0.24,0.28,0.22,0.23,0.35
ALG210+2,THM,0.28,0.25,0.25,0.25,0.31,0.13,0.28,0.31,0.26,0.20,0.31
ALG211+1,THM,0.06,0.07,0.07,0.07,0.05,0.00,0.00,0.00,0.00,0.00,0.00
ALG212+1,THM,0.95,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG212-10,UNS,0.95,0.96,,,,,,,,,
ALG213+1,THM,0.95,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG213-10,UNS,1.00,0.96,,,,,,,,,
ALG214+1,THM,0.31,0.31,0.36,0.36,0.34,0.27,0.34,0.31,0.26,0.30,0.35
ALG214+2,THM,0.86,0.89,0.89,0.89,0.94,0.93,0.93,0.93,0.91,0.93,0.92
ALG214+3,THM,0.89,0.92,0.89,0.89,0.94,0.93,0.93,0.93,0.91,0.93,0.92
ALG214+4,THM,0.92,0.94,0.92,0.92,0.94,0.93,0.93,0.93,0.91,0.93,0.92
ALG215+1,THM,0.42,0.36,0.36,0.36,0.44,0.30,0.38,0.34,0.30,0.33,0.38
ALG215+2,THM,0.83,0.89,0.89,0.89,0.94,0.93,0.93,0.93,0.87,0.90,0.88
ALG215+3,THM,0.86,0.89,0.92,0.92,0.94,0.93,0.93,0.93,0.91,0.93,0.92
ALG215+4,THM,0.86,0.89,0.92,0.92,0.91,0.90,0.93,0.93,0.91,0.93,0.92
ALG216+1,THM,0.31,0.25,0.28,0.28,0.28,0.13,0.24,0.21,0.22,0.17,0.23
ALG216+2,THM,0.75,0.78,0.81,0.81,0.81,0.77,0.83,0.83,0.78,0.80,0.77
ALG216+3,THM,0.81,0.83,0.86,0.86,0.91,0.87,0.86,0.86,0.83,0.87,0.85
ALG216+4,THM,0.86,0.89,0.92,0.92,0.94,0.90,0.90,0.90,0.87,0.90,0.88
ALG217+1,THM,0.89,0.94,0.92,0.92,0.94,0.90,0.90,0.90,0.91,0.97,0.96
ALG217+2,THM,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.96
ALG217+3,THM,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.96
ALG217+4,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG218+1,THM,0.58,0.61,0.58,0.58,0.59,0.50,0.62,0.62,0.61,0.57,0.58
ALG218+2,THM,0.97,0.97,0.97,0.97,1.00,0.97,0.97,0.97,0.96,0.97,0.96
ALG218+3,THM,1.00,1.00,1.00,1.00,1.00,0.97,0.97,0.97,0.96,1.00,1.00
ALG218+4,THM,0.94,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,1.00,1.00
ALG219+1,THM,0.31,0.28,0.31,0.31,0.34,0.20,0.28,0.24,0.22,0.23,0.31
ALG219+2,THM,0.69,0.72,0.69,0.69,0.72,0.87,0.86,0.86,0.83,0.80,0.81
ALG219+3,THM,0.78,0.81,0.81,0.81,0.81,0.87,0.90,0.90,0.87,0.90,0.85
ALG219+4,THM,0.78,0.81,0.83,0.83,0.81,0.90,0.93,0.93,0.91,0.90,0.85
ALG220+1,THM,0.28,0.25,0.31,0.31,0.31,0.20,0.28,0.24,0.22,0.17,0.23
ALG220+2,THM,0.89,0.89,0.83,0.83,0.91,0.93,0.93,0.93,0.91,0.93,0.92
ALG220+3,THM,0.86,0.89,0.86,0.86,0.88,0.93,0.93,0.93,0.91,0.93,0.92
ALG220+4,THM,0.86,0.92,0.92,0.92,0.91,0.93,0.93,0.93,0.91,0.93,0.92
ALG221+1,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG221+2,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG221+3,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG221+4,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG222+1,THM,0.50,0.53,0.42,0.42,0.47,0.33,0.45,0.41,0.39,0.47,0.50
ALG222+2,THM,0.92,0.94,0.92,0.92,0.91,0.87,0.90,0.90,0.87,0.90,0.88
ALG222+3,THM,0.86,0.92,0.92,0.92,0.94,0.90,0.90,0.90,0.91,0.93,0.92
ALG222+4,THM,0.86,0.92,0.92,0.92,0.94,0.93,0.93,0.93,0.91,0.93,0.92
ALG223+1,THM,0.50,0.58,0.56,0.56,0.59,0.50,0.59,0.55,0.43,0.50,0.50
ALG223+2,THM,0.89,0.92,0.92,0.92,0.97,0.97,0.97,0.97,0.96,0.97,0.96
ALG223+3,THM,0.92,0.94,0.97,0.97,0.97,0.97,0.97,0.97,0.91,0.93,0.92
ALG223+4,THM,0.94,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,1.00,1.00
ALG224+1,THM,0.50,0.64,0.56,0.56,0.62,0.53,0.62,0.59,0.43,0.47,0.50
ALG224+2,THM,0.89,0.92,0.92,0.92,0.97,0.97,0.97,0.97,0.96,0.97,0.96
ALG224+3,THM,0.92,0.94,0.97,0.97,0.97,0.97,0.97,0.97,0.96,1.00,1.00
ALG224+4,THM,0.94,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,1.00,1.00
ALG225+1,THM,0.64,0.69,0.67,0.67,0.75,0.63,0.66,0.66,0.57,0.60,0.58
ALG225+2,THM,0.94,0.97,0.94,0.94,0.97,0.97,1.00,1.00,1.00,1.00,1.00
ALG225+3,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG225+4,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG226+1,THM,0.61,0.72,0.67,0.67,0.72,0.57,0.59,0.59,0.57,0.60,0.65
ALG226+2,THM,0.69,0.78,0.78,0.78,0.84,0.87,0.90,0.90,0.87,0.87,0.81
ALG226+3,THM,0.78,0.83,0.81,0.81,0.81,0.87,0.90,0.90,0.87,0.87,0.81
ALG226+4,THM,0.72,0.78,0.86,0.86,0.81,0.90,0.93,0.93,0.91,0.87,0.81
ALG227+1,THM,0.19,0.19,0.19,0.19,0.22,0.13,0.14,0.10,0.13,0.10,0.15
ALG227+2,THM,0.83,0.86,0.86,0.86,0.91,0.90,0.93,0.93,0.87,0.87,0.88
ALG227+3,THM,0.86,0.92,0.92,0.92,0.94,0.97,0.97,0.97,0.91,0.90,0.88
ALG227+4,THM,0.89,0.92,0.94,0.94,0.94,0.97,0.97,0.97,0.91,0.90,0.88
ALG228+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG228+2,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG228+3,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG228+4,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG229+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG229+2,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG229+3,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG229+4,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG230+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG230+2,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG230+3,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG230+4,CSA,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG231+1,THM,1.00,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,1.00
ALG231+2,THM,0.94,0.94,0.94,0.94,0.94,0.93,0.97,0.97,0.91,0.90,0.85
ALG231+3,THM,0.94,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.96
ALG231+4,THM,0.94,0.94,0.94,0.94,0.97,0.97,0.97,0.97,0.96,1.00,1.00
ALG232+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG232+2,THM,0.97,0.97,0.94,0.94,1.00,1.00,0.97,0.97,0.96,0.97,0.92
ALG232+3,THM,1.00,1.00,0.97,0.97,1.00,1.00,0.97,0.97,0.96,1.00,1.00
ALG232+4,THM,1.00,1.00,1.00,1.00,1.00,1.00,0.97,0.97,0.96,1.00,1.00
ALG233+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG233+2,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG233+3,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG233+4,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG234+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG234+2,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG234+3,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG234+4,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG235-1,UNS,0.00,0.04,0.10,0.10,0.04,0.17,0.05,0.05,0.00,0.05,0.11
ALG236-1,UNS,0.05,0.21,0.15,0.15,0.12,0.30,0.16,0.16,0.06,0.11,0.16
ALG237-1,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG238-1,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG239-1,UNS,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG240-1,UNS,0.36,0.42,0.40,0.40,0.50,0.48,0.42,0.42,0.44,0.47,0.53
ALG241-1,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG242-1,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG243-1,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG244-1,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG245-1,UNS,0.27,0.29,0.25,0.25,0.42,0.39,0.37,0.37,0.44,0.47,0.47
ALG246-1,UNS,0.68,0.71,0.80,0.80,0.79,0.87,0.79,0.79,0.78,0.74,0.79
ALG247^2,THM,0.50,0.62,0.64,0.64,0.57,0.56,0.56,0.62,0.62,0.57,0.50
ALG248^1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG248^2,CSA,1.00,1.00,0.60,0.60,0.60,0.50,0.50,0.33,0.33,0.33,0.67
ALG248^3,THM,0.10,0.15,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
ALG249^3,THM,0.10,0.15,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
ALG250^3,THM,0.10,0.15,0.18,0.18,0.14,0.00,0.00,0.00,0.12,0.00,0.00
ALG251^1,THM,0.80,0.92,0.91,0.91,0.86,0.89,1.00,1.00,1.00,1.00,1.00
ALG251^2,THM,0.50,0.54,0.45,0.45,0.43,0.33,0.33,0.25,0.38,0.29,0.33
ALG251^3,THM,0.40,0.62,0.55,0.55,0.43,0.56,0.56,0.50,0.62,0.57,0.50
ALG252^1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG252^2,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG253^1,THM,0.50,0.54,0.45,0.45,0.57,0.56,0.67,0.62,0.75,0.71,0.83
ALG253^2,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
ALG254^1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG254^2,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG255^1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG256^1,THM,0.00,0.15,0.09,0.09,0.00,0.11,0.22,0.12,0.38,0.14,0.17
ALG256^2,THM,0.00,0.08,0.09,0.09,0.00,0.11,0.11,0.00,0.25,0.14,0.17
ALG257^1,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG257^2,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG258^1,THM,0.30,0.38,0.27,0.27,0.43,0.33,0.44,0.38,0.62,0.57,0.67
ALG258^2,THM,0.40,0.46,0.36,0.36,0.43,0.44,0.44,0.38,0.62,0.57,0.67
ALG259^1,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG259^2,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG260^1,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG260^2,THM,0.00,0.08,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG261^1,THM,0.00,0.15,0.09,0.09,0.00,0.11,0.11,0.00,0.25,0.14,0.17
ALG261^2,THM,0.00,0.08,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ALG262^2,THM,0.30,0.54,0.55,0.55,0.29,0.44,0.44,0.50,0.50,0.29,0.17
ALG263^1,THM,0.00,0.08,0.09,0.09,0.00,0.11,0.11,0.00,0.25,0.14,0.17
ALG263^3,THM,0.00,0.08,0.09,0.09,0.00,0.11,0.11,0.00,0.25,0.14,0.17
ALG264^1,THM,0.00,0.15,0.09,0.09,0.14,0.11,0.11,0.00,0.25,0.14,0.17
ALG264^3,THM,0.00,0.15,0.09,0.09,0.14,0.22,0.22,0.12,0.25,0.29,0.33
ALG265^2,THM,0.70,0.77,0.82,0.82,0.57,0.56,0.56,0.62,0.50,0.43,0.33
ALG266^1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG266^2,THM,0.30,0.38,0.36,0.36,0.29,0.22,0.22,0.12,0.38,0.43,0.50
ALG267^1,THM,0.50,0.69,0.64,0.64,0.29,0.22,0.22,0.12,0.38,0.43,0.50
ALG267^2,THM,0.30,0.54,0.45,0.45,0.29,0.22,0.22,0.25,0.38,0.14,0.17
ALG268^1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG268^2,THM,0.30,0.38,0.36,0.36,0.29,0.22,0.22,0.12,0.38,0.43,0.50
ALG268^3,THM,0.40,0.46,0.36,0.36,0.29,0.44,0.44,0.38,0.62,0.57,0.67
ALG268^4,THM,0.30,0.54,0.45,0.45,0.14,0.22,0.22,0.25,0.38,0.29,0.17
ALG268^5,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG268^6,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG269^1,THM,1.00,0.92,1.00,1.00,0.86,0.89,0.89,0.88,0.88,0.86,0.83
ALG269^2,THM,0.90,0.92,0.91,0.91,0.86,0.78,0.78,0.75,0.75,0.71,0.67
ALG269^3,THM,0.70,0.85,0.82,0.82,0.86,0.78,0.89,0.88,0.88,0.71,0.83
ALG269^4,CSA,1.00,1.00,0.80,0.80,0.80,0.75,0.75,0.67,0.67,0.67,0.67
ALG270^5,THM,0.00,0.08,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG271^5,THM,0.30,0.38,0.27,0.27,0.29,0.33,0.44,0.38,0.62,0.57,0.67
ALG272^5,THM,0.40,0.46,0.36,0.36,0.29,0.33,0.44,0.38,0.62,0.57,0.67
ALG273^5,THM,0.50,0.54,0.36,0.36,0.29,0.33,0.44,0.38,0.62,0.57,0.67
ALG274^5,THM,0.50,0.54,0.36,0.36,0.29,0.22,0.33,0.25,0.50,0.43,0.50
ALG275^5,CSA,1.00,1.00,0.60,0.60,0.40,0.50,0.50,0.33,0.33,0.33,0.67
ALG276^5,THM,0.50,0.54,0.36,0.36,0.43,0.33,0.56,0.50,0.62,0.57,0.67
ALG277^5,THM,0.20,0.31,0.18,0.18,0.14,0.22,0.22,0.12,0.38,0.29,0.33
ALG278^5,THM,0.20,0.31,0.18,0.18,0.14,0.22,0.22,0.12,0.38,0.29,0.33
ALG279^5,THM,0.20,0.31,0.18,0.18,0.14,0.22,0.22,0.12,0.25,0.43,0.50
ALG280^5,THM,0.20,0.23,0.18,0.18,0.14,0.22,0.22,0.12,0.25,0.43,0.50
ALG281^5,THM,0.20,0.15,0.09,0.09,0.14,0.22,0.22,0.12,0.25,0.43,0.50
ALG282^5,THM,0.30,0.31,0.27,0.27,0.14,0.22,0.22,0.12,0.25,0.43,0.50
ALG283^5,THM,0.20,0.23,0.27,0.27,0.14,0.22,0.22,0.12,0.25,0.43,0.50
ALG284^5,THM,0.20,0.23,0.18,0.18,0.14,0.22,0.22,0.12,0.38,0.43,0.50
ALG285^5,THM,0.30,0.31,0.27,0.27,0.14,0.33,0.33,0.25,0.50,0.57,0.67
ALG286^5,THM,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.12,0.14,0.17
ALG287^5,THM,0.00,0.08,0.09,0.09,0.00,0.22,0.22,0.12,0.38,0.43,0.50
ALG288^5,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG289^5,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG290^5,THM,0.50,0.62,0.64,0.64,0.57,0.44,0.44,0.38,0.50,0.43,0.50
ALG291^5,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG292^5,THM,0.80,0.85,0.91,0.91,0.86,0.56,0.56,0.50,0.50,0.43,0.50
ALG293^5,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG294^5,THM,0.50,0.62,0.55,0.55,0.71,0.56,0.56,0.50,0.50,0.43,0.50
ALG295^5,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG296^5,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG297^5,UNK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG298^5,THM,0.20,0.08,0.09,0.09,0.14,0.33,0.44,0.38,0.50,0.57,0.67
ALG299-1,SAT,0.44,0.60,0.50,0.50,0.75,0.75,0.75,0.75,0.67,0.67,0.75
ALG300-1,SAT,0.44,0.60,0.50,0.50,0.75,0.75,0.75,0.75,0.67,0.67,0.75
ALG301-1,SAT,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG302-1,SAT,0.44,0.60,0.50,0.50,0.75,0.75,0.75,0.75,0.67,0.67,0.75
ALG303-1,SAT,0.70,0.90,0.75,0.75,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG304-1,SAT,0.70,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG305-1,SAT,0.50,0.70,0.62,0.62,0.78,0.73,0.78,0.78,0.75,0.71,0.57
ALG306-1,SAT,0.50,0.70,0.62,0.62,0.78,0.73,0.78,0.78,0.75,0.71,0.57
ALG307-1,SAT,0.50,0.70,0.62,0.62,0.78,0.73,0.78,0.78,0.75,0.71,0.57
ALG308-1,SAT,0.60,0.80,0.75,0.75,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG309-1,SAT,0.70,0.80,0.75,0.75,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG310-1,SAT,0.80,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG311-1,SAT,0.70,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG312-1,SAT,0.70,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG313-1,SAT,0.60,0.80,0.75,0.75,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG314-1,SAT,0.70,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG315-1,SAT,0.80,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG316-1,SAT,0.60,0.80,0.75,0.75,0.78,0.73,0.67,0.67,0.62,0.57,0.43
ALG317-1,SAT,0.80,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG318-1,SAT,0.60,0.80,0.75,0.75,0.78,0.73,0.78,0.78,0.75,0.57,0.43
ALG319-1,SAT,0.60,0.80,0.75,0.75,0.78,0.73,0.78,0.78,0.75,0.71,0.57
ALG320-1,SAT,0.80,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG321-1,SAT,0.80,0.90,0.88,0.88,0.89,0.82,0.89,0.89,0.88,0.86,0.71
ALG322-1,SAT,0.90,0.90,0.88,0.88,0.89,0.91,0.89,0.89,1.00,0.86,0.86
ALG323-1,SAT,0.60,0.80,0.75,0.75,0.78,0.73,0.78,0.78,0.75,0.71,0.71
ALG324-1,SAT,0.90,0.90,0.88,0.88,0.89,0.91,0.89,0.89,1.00,0.86,0.86
ALG325-1,SAT,0.60,0.80,0.75,0.75,0.78,0.73,0.78,0.78,0.75,0.71,0.57
